Ano,Regiao,Tipo,Nome_Item,Receita_Bilhoes,Churn_Rate
2013,América do Norte,Streaming,Prime Video,0.41,3.3
2013,Europa,Cinema,Ação,1.89,
2013,Europa,Cinema,Drama,2.11,
2013,Europa,Cinema,Comédia,2.7,
2013,Europa,Cinema,Terror,2.02,
2013,Europa,Streaming,Netflix,0.44,2.5
2013,Europa,Streaming,Prime Video,0.05,3.5
2013,Latam,Cinema,Ação,1.38,
2013,Latam,Cinema,Drama,2.05,
2013,Latam,Cinema,Comédia,1.31,
2013,Latam,Cinema,Terror,1.45,
2013,Latam,Streaming,Netflix,0.23,2.1
2013,Latam,Streaming,Prime Video,0.37,3.7
2013,Ásia,Cinema,Ação,2.72,
2013,Ásia,Cinema,Drama,1.9,
2013,Ásia,Cinema,Comédia,3.01,
2013,Ásia,Cinema,Terror,1.67,
2013,Ásia,Streaming,Netflix,0.5,3.2
2013,Ásia,Streaming,Prime Video,0.19,3.3
2014,América do Norte,Cinema,Ação,3.0,
2014,América do Norte,Cinema,Drama,2.66,
2014,América do Norte,Cinema,Comédia,2.07,
2014,América do Norte,Cinema,Terror,2.98,
2014,América do Norte,Streaming,Netflix,0.35,2.6
2014,América do Norte,Streaming,Prime Video,0.39,4.0
2014,Europa,Cinema,Ação,1.79,
2014,Europa,Cinema,Drama,1.97,
2014,Europa,Cinema,Comédia,2.43,
2014,Europa,Cinema,Terror,1.61,
2014,Europa,Streaming,Netflix,0.53,2.9
2014,Europa,Streaming,Prime Video,0.16,3.6
2014,Latam,Cinema,Ação,1.54,
2014,Latam,Cinema,Drama,1.69,
2014,Latam,Cinema,Comédia,1.12,
2014,Latam,Cinema,Terror,1.1,
2014,Latam,Streaming,Netflix,0.35,2.6
2014,Latam,Streaming,Prime Video,0.32,3.6
2014,Ásia,Cinema,Ação,2.19,
2014,Ásia,Cinema,Drama,2.63,
2014,Ásia,Cinema,Comédia,2.66,
2014,Ásia,Cinema,Terror,2.18,
2014,Ásia,Streaming,Netflix,0.86,2.6
2014,Ásia,Streaming,Prime Video,0.24,3.7
2015,América do Norte,Cinema,Ação,2.6,
2015,América do Norte,Cinema,Drama,3.59,
2015,América do Norte,Cinema,Comédia,3.8,
2015,América do Norte,Cinema,Terror,2.69,
2015,América do Norte,Streaming,Netflix,1.03,2.6
2015,América do Norte,Streaming,Prime Video,0.99,4.1
2015,Europa,Cinema,Ação,2.15,
2015,Europa,Cinema,Drama,1.95,
2015,Europa,Cinema,Comédia,1.89,
2015,Europa,Cinema,Terror,1.92,
2015,Europa,Streaming,Netflix,0.59,2.6
2015,Europa,Streaming,Prime Video,0.66,3.7
2015,Latam,Cinema,Ação,1.58,
2015,Latam,Cinema,Drama,1.98,
2015,Latam,Cinema,Comédia,1.5,
2015,Latam,Cinema,Terror,2.34,
2015,Latam,Streaming,Netflix,0.44,2.2
2015,Latam,Streaming,Prime Video,0.23,3.6
2015,Ásia,Cinema,Ação,2.59,
2015,Ásia,Cinema,Drama,3.04,
2015,Ásia,Cinema,Comédia,2.93,
2015,Ásia,Cinema,Terror,2.67,
2015,Ásia,Streaming,Netflix,0.43,2.0
2015,Ásia,Streaming,Prime Video,0.51,3.8
2016,América do Norte,Cinema,Ação,3.48,
2016,América do Norte,Cinema,Drama,2.66,
2016,América do Norte,Cinema,Comédia,3.46,
2016,América do Norte,Cinema,Terror,3.58,
2016,América do Norte,Streaming,Netflix,0.74,2.5
2016,América do Norte,Streaming,Prime Video,0.99,3.2
2016,Europa,Cinema,Ação,2.54,
2016,Europa,Cinema,Drama,2.62,
2016,Europa,Cinema,Comédia,2.83,
2016,Europa,Cinema,Terror,2.82,
2016,Europa,Streaming,Netflix,0.47,2.2
2016,Europa,Streaming,Prime Video,0.85,3.7
2016,Latam,Cinema,Ação,1.82,
2016,Latam,Cinema,Drama,2.76,
2016,Latam,Cinema,Comédia,1.84,
2016,Latam,Cinema,Terror,2.0,
2016,Latam,Streaming,Netflix,0.56,2.7
2016,Latam,Streaming,Prime Video,0.41,3.7
2016,Ásia,Cinema,Ação,2.51,
2016,Ásia,Cinema,Drama,2.77,
2016,Ásia,Cinema,Comédia,2.65,
2016,Ásia,Cinema,Terror,2.92,
2016,Ásia,Streaming,Netflix,1.21,1.9
2016,Ásia,Streaming,Prime Video,0.89,3.0
2017,América do Norte,Cinema,Ação,3.31,
2017,América do Norte,Cinema,Drama,4.18,
2017,América do Norte,Cinema,Comédia,3.61,
2017,América do Norte,Cinema,Terror,2.97,
2017,América do Norte,Streaming,Netflix,1.03,2.7
2017,América do Norte,Streaming,Prime Video,1.02,3.6
2017,Europa,Cinema,Ação,2.57,
2017,Europa,Cinema,Drama,2.29,
2017,Europa,Cinema,Comédia,3.41,
2017,Europa,Cinema,Terror,2.8,
2017,Europa,Streaming,Netflix,0.53,2.6
2017,Europa,Streaming,Prime Video,0.8,3.8
2017,Latam,Cinema,Ação,1.56,
2017,Latam,Cinema,Drama,1.75,
2017,Latam,Cinema,Comédia,1.93,
2017,Latam,Cinema,Terror,2.03,
2017,Latam,Streaming,Netflix,0.42,2.4
2017,Latam,Streaming,Prime Video,0.5,3.3
2017,Ásia,Cinema,Ação,3.91,
2017,Ásia,Cinema,Drama,3.25,
2017,Ásia,Cinema,Comédia,2.45,
2017,Ásia,Cinema,Terror,3.5,
2017,Ásia,Streaming,Netflix,1.36,2.8
2017,Ásia,Streaming,Prime Video,0.63,3.4
2018,América do Norte,Cinema,Ação,4.49,
2018,América do Norte,Cinema,Drama,3.38,
2018,América do Norte,Cinema,Comédia,4.03,
2018,América do Norte,Cinema,Terror,4.21,
2018,América do Norte,Streaming,Netflix,1.27,2.5
2018,América do Norte,Streaming,Prime Video,0.67,3.2
2018,Europa,Cinema,Ação,2.6,
2018,Europa,Cinema,Drama,2.2,
2018,Europa,Cinema,Comédia,3.35,
2018,Europa,Cinema,Terror,2.13,
2018,Europa,Streaming,Netflix,1.07,2.5
2018,Europa,Streaming,Prime Video,1.45,3.1
2018,Latam,Cinema,Ação,2.22,
2018,Latam,Cinema,Drama,1.89,
2018,Latam,Cinema,Comédia,1.62,
2018,Latam,Cinema,Terror,2.02,
2018,Latam,Streaming,Netflix,0.72,2.3
2018,Latam,Streaming,Prime Video,0.71,3.4
2018,Ásia,Cinema,Ação,3.29,
2018,Ásia,Cinema,Drama,3.56,
2018,Ásia,Cinema,Comédia,4.0,
2018,Ásia,Cinema,Terror,2.65,
2018,Ásia,Streaming,Netflix,1.59,1.9
2018,Ásia,Streaming,Prime Video,1.13,3.7
2019,América do Norte,Cinema,Ação,4.15,
2019,América do Norte,Cinema,Drama,3.64,
2019,América do Norte,Cinema,Comédia,3.87,
2019,América do Norte,Cinema,Terror,3.71,
2019,América do Norte,Streaming,Netflix,1.73,2.8
2019,América do Norte,Streaming,Prime Video,1.98,3.3
2019,Europa,Cinema,Ação,3.21,
2019,Europa,Cinema,Drama,2.97,
2019,Europa,Cinema,Comédia,3.18,
2019,Europa,Cinema,Terror,3.1,
2019,Europa,Streaming,Netflix,1.28,2.3
2019,Europa,Streaming,Prime Video,1.6,3.7
2019,Latam,Cinema,Ação,1.99,
2019,Latam,Cinema,Drama,2.03,
2019,Latam,Cinema,Comédia,2.35,
2019,Latam,Cinema,Terror,1.83,
2019,Latam,Streaming,Netflix,0.93,2.4
2019,Latam,Streaming,Prime Video,0.84,3.8
2019,Ásia,Cinema,Ação,3.82,
2019,Ásia,Cinema,Drama,3.81,
2019,Ásia,Cinema,Comédia,4.05,
2019,Ásia,Cinema,Terror,3.43,
2019,Ásia,Streaming,Netflix,1.58,2.4
2019,Ásia,Streaming,Prime Video,1.51,3.5
2020,América do Norte,Cinema,Ação,0.64,
2020,América do Norte,Cinema,Drama,0.68,
2020,América do Norte,Cinema,Comédia,0.56,
2020,América do Norte,Cinema,Terror,0.81,
2020,América do Norte,Streaming,Netflix,2.92,2.1
2020,América do Norte,Streaming,Prime Video,3.71,3.7
2020,América do Norte,Streaming,Disney+,3.51,3.7
2020,Europa,Cinema,Ação,0.45,
2020,Europa,Cinema,Drama,0.4,
2020,Europa,Cinema,Comédia,0.45,
2020,Europa,Cinema,Terror,0.41,
2020,Europa,Streaming,Netflix,2.8,2.5
2020,Europa,Streaming,Prime Video,2.3,3.4
2020,Europa,Streaming,Disney+,2.64,3.3
2020,Latam,Cinema,Ação,0.28,
2020,Latam,Cinema,Drama,0.33,
2020,Latam,Cinema,Comédia,0.33,
2020,Latam,Cinema,Terror,0.29,
2020,Latam,Streaming,Netflix,1.44,2.6
2020,Latam,Streaming,Prime Video,1.27,3.1
2020,Latam,Streaming,Disney+,1.4,3.4
2020,Ásia,Cinema,Ação,0.56,
2020,Ásia,Cinema,Drama,0.65,
2020,Ásia,Cinema,Comédia,0.6,
2020,Ásia,Cinema,Terror,0.53,
2020,Ásia,Streaming,Netflix,2.52,2.2
2020,Ásia,Streaming,Prime Video,2.52,3.4
2020,Ásia,Streaming,Disney+,2.62,3.3
2021,América do Norte,Cinema,Ação,1.41,
2021,América do Norte,Cinema,Drama,1.58,
2021,América do Norte,Cinema,Comédia,1.3,
2021,América do Norte,Cinema,Terror,1.39,
2021,América do Norte,Streaming,Netflix,4.34,2.4
2021,América do Norte,Streaming,Prime Video,4.18,3.5
2021,América do Norte,Streaming,Disney+,4.13,3.3
2021,Europa,Cinema,Ação,0.95,
2021,Europa,Cinema,Drama,1.0,
2021,Europa,Cinema,Comédia,1.12,
2021,Europa,Cinema,Terror,1.06,
2021,Europa,Streaming,Netflix,3.75,2.3
2021,Europa,Streaming,Prime Video,3.39,3.6
2021,Europa,Streaming,Disney+,3.76,3.3
2021,Latam,Cinema,Ação,0.59,
2021,Latam,Cinema,Drama,0.61,
2021,Latam,Cinema,Comédia,0.48,
2021,Latam,Cinema,Terror,0.62,
2021,Latam,Streaming,Netflix,1.76,2.5
2021,Latam,Streaming,Prime Video,1.95,4.1
2021,Latam,Streaming,Disney+,2.05,3.3
2021,Ásia,Cinema,Ação,1.0,
2021,Ásia,Cinema,Drama,1.2,
2021,Ásia,Cinema,Comédia,0.94,
2021,Ásia,Cinema,Terror,1.4,
2021,Ásia,Streaming,Netflix,3.48,2.4
2021,Ásia,Streaming,Prime Video,2.67,3.9
2021,Ásia,Streaming,Disney+,3.12,3.9
2022,América do Norte,Cinema,Ação,1.38,
2022,América do Norte,Cinema,Drama,1.59,
2022,América do Norte,Cinema,Comédia,1.71,
2022,América do Norte,Cinema,Terror,2.14,
2022,América do Norte,Streaming,Netflix,3.53,5.2
2022,América do Norte,Streaming,Prime Video,3.37,6.0
2022,América do Norte,Streaming,Disney+,3.67,6.2
2022,Europa,Cinema,Ação,1.33,
2022,Europa,Cinema,Drama,1.05,
2022,Europa,Cinema,Comédia,0.99,
2022,Europa,Cinema,Terror,1.75,
2022,Europa,Streaming,Netflix,2.87,4.8
2022,Europa,Streaming,Prime Video,3.11,6.0
2022,Europa,Streaming,Disney+,3.04,6.0
2022,Latam,Cinema,Ação,1.07,
2022,Latam,Cinema,Drama,1.04,
2022,Latam,Cinema,Comédia,0.83,
2022,Latam,Cinema,Terror,1.19,
2022,Latam,Streaming,Netflix,1.76,5.4
2022,Latam,Streaming,Prime Video,1.57,6.2
2022,Latam,Streaming,Disney+,1.81,5.5
2022,Ásia,Cinema,Ação,1.26,
2022,Ásia,Cinema,Drama,1.1,
2022,Ásia,Cinema,Comédia,1.42,
2022,Ásia,Cinema,Terror,1.98,
2022,Ásia,Streaming,Netflix,3.1,5.0
2022,Ásia,Streaming,Prime Video,3.13,5.6
2022,Ásia,Streaming,Disney+,2.46,6.0
2023,América do Norte,Cinema,Ação,2.52,
2023,América do Norte,Cinema,Drama,2.41,
2023,América do Norte,Cinema,Comédia,1.84,
2023,América do Norte,Cinema,Terror,3.11,
2023,América do Norte,Streaming,Netflix,4.2,5.2
2023,América do Norte,Streaming,Prime Video,4.64,5.7
2023,América do Norte,Streaming,Disney+,4.41,5.7
2023,Europa,Cinema,Ação,1.71,
2023,Europa,Cinema,Drama,1.92,
2023,Europa,Cinema,Comédia,1.53,
2023,Europa,Cinema,Terror,2.37,
2023,Europa,Streaming,Netflix,3.39,4.8
2023,Europa,Streaming,Prime Video,3.47,5.7
2023,Europa,Streaming,Disney+,3.38,5.6
2023,Latam,Cinema,Ação,1.48,
2023,Latam,Cinema,Drama,1.21,
2023,Latam,Cinema,Comédia,1.11,
2023,Latam,Cinema,Terror,1.61,
2023,Latam,Streaming,Netflix,2.08,4.9
2023,Latam,Streaming,Prime Video,2.17,6.2
2023,Latam,Streaming,Disney+,2.03,5.8
2023,Ásia,Cinema,Ação,2.0,
2023,Ásia,Cinema,Drama,1.52,
2023,Ásia,Cinema,Comédia,1.71,
2023,Ásia,Cinema,Terror,3.12,
2023,Ásia,Streaming,Netflix,3.82,4.9
2023,Ásia,Streaming,Prime Video,3.61,6.1
2023,Ásia,Streaming,Disney+,4.11,6.3
2024,América do Norte,Cinema,Ação,2.48,
2024,América do Norte,Cinema,Drama,2.25,
2024,América do Norte,Cinema,Comédia,2.07,
2024,América do Norte,Cinema,Terror,3.35,
2024,América do Norte,Streaming,Netflix,5.46,4.6
2024,América do Norte,Streaming,Prime Video,5.49,5.7
2024,América do Norte,Streaming,Disney+,6.1,6.3
2024,Europa,Cinema,Ação,1.8,
2024,Europa,Cinema,Drama,2.1,
2024,Europa,Cinema,Comédia,1.82,
2024,Europa,Cinema,Terror,2.12,
2024,Europa,Streaming,Netflix,4.66,5.2
2024,Europa,Streaming,Prime Video,4.14,5.9
2024,Europa,Streaming,Disney+,4.18,5.6
2024,Latam,Cinema,Ação,1.39,
2024,Latam,Cinema,Drama,1.53,
2024,Latam,Cinema,Comédia,1.06,
2024,Latam,Cinema,Terror,1.74,
2024,Latam,Streaming,Netflix,2.53,4.9
2024,Latam,Streaming,Prime Video,2.54,5.7
2024,Latam,Streaming,Disney+,2.62,5.8
2024,Ásia,Cinema,Ação,2.22,
2024,Ásia,Cinema,Drama,2.15,
2024,Ásia,Cinema,Comédia,2.1,
2024,Ásia,Cinema,Terror,2.52,
2024,Ásia,Streaming,Netflix,4.24,5.2
2024,Ásia,Streaming,Prime Video,4.45,5.7
2024,Ásia,Streaming,Disney+,4.37,6.2
2025,América do Norte,Cinema,Ação,2.16,
2025,América do Norte,Cinema,Drama,2.78,
2025,América do Norte,Cinema,Comédia,2.44,
2025,América do Norte,Cinema,Terror,3.62,
2025,América do Norte,Streaming,Netflix,6.85,4.5
2025,América do Norte,Streaming,Prime Video,6.63,6.0
2025,América do Norte,Streaming,Disney+,7.12,5.7
2025,Europa,Cinema,Ação,2.0,
2025,Europa,Cinema,Drama,1.54,
2025,Europa,Cinema,Comédia,1.86,
2025,Europa,Cinema,Terror,2.12,
2025,Europa,Streaming,Netflix,5.29,5.0
2025,Europa,Streaming,Prime Video,5.25,5.9
2025,Europa,Streaming,Disney+,5.62,5.8
2025,Latam,Cinema,Ação,1.43,
2025,Latam,Cinema,Drama,1.15,
2025,Latam,Cinema,Comédia,1.39,
2025,Latam,Cinema,Terror,1.97,
2025,Latam,Streaming,Netflix,2.96,4.8
2025,Latam,Streaming,Prime Video,3.32,5.9
2025,Latam,Streaming,Disney+,3.3,5.8
2025,Ásia,Cinema,Ação,2.27,
2025,Ásia,Cinema,Drama,2.21,
2025,Ásia,Cinema,Comédia,2.53,
2025,Ásia,Cinema,Terror,3.0,
2025,Ásia,Streaming,Netflix,5.49,4.9
2025,Ásia,Streaming,Prime Video,5.33,5.9
2025,Ásia,Streaming,Disney+,5.5,5.9
